Period (days),Log of Amplitude
356.7825416,5.169181727
357.0299302,5.169243697
357.2774903,5.169297051
357.525222,5.169341786
357.7731255,5.169377897
358.0212009,5.169405381
358.2694483,5.169424233
358.5178678,5.169434449
358.7664596,5.169436027
359.0152238,5.169428961
359.2641605,5.169413249
359.5132697,5.169388887
359.7625517,5.169355872
360.0120066,5.169314201
360.2616344,5.16926387
360.5114353,5.169204878
360.7614094,5.16913722
361.0115568,5.169060895
361.2618777,5.168975899
361.5123722,5.16888223
361.7630403,5.168779886
362.0138823,5.168668865
362.2648982,5.168549164
362.5160881,5.168420781
362.7674522,5.168283714
363.0189906,5.168137961
363.2707034,5.167983521
363.5225908,5.167820392
363.7746528,5.167648571
364.0268896,5.167468059
364.2793013,5.167278853
364.531888,5.167080952
364.7846498,5.166874354
365.0375869,5.16665906
365.2906994,5.166435067
365.5439874,5.166202374
365.797451,5.165960981
366.0510904,5.165710888
366.3049056,5.165452093
366.5588968,5.165184595
366.8130642,5.164908395
367.0674077,5.164623491
367.3219277,5.164329884
367.5766241,5.164027573
367.8314971,5.163716558
368.0865469,5.163396839
368.3417735,5.163068416
368.597177,5.162731288
368.8527577,5.162385456
369.1085156,5.16203092
369.3644508,5.16166768
369.6205635,5.161295737
369.8768537,5.16091509
370.1333217,5.160525741
370.3899675,5.160127689
370.6467913,5.159720936
370.9037931,5.159305481
371.1609732,5.158881326
371.4183315,5.158448471
371.6758683,5.158006917
371.9335837,5.157556665
372.1914778,5.157097715
372.4495507,5.156630068
372.7078026,5.156153726
372.9662335,5.15566869
373.2248436,5.155174959
373.483633,5.154672536
373.7426019,5.154161422
374.0017503,5.153641617
374.2610784,5.153113124
374.5205864,5.152575942
374.7802743,5.152030074
375.0401422,5.15147552
375.3001903,5.150912282
375.5604188,5.150340361
375.8208277,5.149759758
376.0814171,5.149170476
376.3421873,5.148572515
376.6031382,5.147965876
376.8642701,5.147350561
377.1255831,5.146726572
377.3870772,5.146093909
377.6487527,5.145452575
377.9106096,5.144802571
378.1726481,5.144143897
378.4348682,5.143476556
378.6972702,5.14280055
378.9598542,5.142115878
379.2226202,5.141422544
379.4855684,5.140720548
379.7486989,5.140009891
380.0120119,5.139290576
380.2755075,5.138562603
380.5391858,5.137825974
380.8030469,5.13708069
381.0670909,5.136326753
381.3313181,5.135564164
381.5957284,5.134792923
